0;Academy, Disabled;
1;Gator, disabled;
3;Archer, D;
4;Archer;
5;Hand Cannoneer;
6;Elite Skirmisher;
7;Skirmisher;
8;Longbowman;
9;Arrow;
10;Archery Range 3;
11;Mangudai;
12;Barracks;
13;Fishing Ship;
14;Archery Range 4;
15;Junk;
16;Bombard Cannon, D;
17;Trade Cog;
18;Blacksmith 3;
19;Blacksmith 4;
20;Barracks 4;
21;War Galley;
22;Berserk, D;
23;Battering Ram, D;
24;Crossbowman;
25;Teutonic Knight;
26;Crossbowman, D;
27;Cataphract, D;
28;Cho-Ko-Nu, D;
29;Trading Cog, D;
30;Monastery 2;
31;Monastery 3;
32;Monastery 4;
33;Castle 4;
34;Cavalry Archer, D;
35;Battering Ram;
36;Bombard Cannon;
37;LANCE;
38;Knight;
39;Cavalry Archer;
40;Cataphract;
41;Huskarl;
42;Trebuchet (Unpacked);
43;Deer, D;
44;Mameluke, D;
45;Dock;
46;Janissary;
47;Dock 3;
48;Boar;
49;Siege Workshop;
50;Farm;
51;Dock 4;
52;Fish 1, Disabled;
53;Fish (Perch);
54;Proj, VOL;
55;Fishing Ship, D;
56;Fisher, M;
57;Fisher, F;
58;Fisher, M D;
59;Forage Bush;
60;Fisher, F D;
61;Galley, D (Canoe?);
62;Huskarl (E?), D;
63;Gate, AA3;
64;Gate, AA2;
65;Deer;
66;Gold Mine;
67;Gate, AB3;
68;Mill;
69;Fish, Shore;
70;House;
71;Town Center 2;
72;Wall, Palisade;
73;Chu Ko Nu;
74;Militia;
75;Man At Arms;
76;Heavy Swordsman;
77;Long Swordsman;
78;Gate, AB2;
79;Watch Tower;
80;Gate, AC3;
81;Gate, AC2;
82;Castle;
83;Villager, M;
84;Market;
85;Gate, BA3;
86;Stable 3;
87;Archery Range;
88;Gate, BA2;
89;Dire Wolf;
90;Gate, BB3;
91;Gate, BB2;
92;Gate, BC3;
93;Spearman;
94;Berserk 2;
95;Gate, BC2;
96;Hawk;
97;Arrow 1;
98;Hand Cannoneer, D;
99;Heavy Swordsman, D;
100;Elite Skirmisher, D;
101;Stable;
102;Stone Mine;
103;Blacksmith;
104;Monastery;
105;Blacksmith 2;
106;Infiltrator, D;
107;Janissary, D;
108;Junk, D;
109;Town Center;
110;Trade Workshop;
111;Knight, D;
112;Flare;
113;Lance, D;
114;Longboat, D;
115;Longbowman, D;
116;Market 3;
117;Wall, Stone;
118;Builder, M;
119;Fisherman, disabled;
120;Forager, M;
121;Mangonel, D;
122;Hunter, M;
123;Lumberjack, M;
124;Stone Miner, M;
125;Monk;
126;Wolf;
127;Explorer, Old;
128;Trade Cart, Empty;
129;Mill 2;
130;Mill 3;
131;Mill 4;
132;Barracks 3;
133;Dock 2;
134;Monk, D;
135;Mangudai, D;
136;War Elephant, D;
137;Market 4;
138;OUTLW, D;
139;Paladin, D;
140;Spearman, D;
141;Town Center 3;
142;Town Center 4;
143;Rubble 1 X 1;
144;Rubble 2 X 2;
145;Rubble 3 X 3;
146;Rubble 4 X 4;
147;Rubble 6;
148;Rubble 5 X 5;
149;Scorpion, D;
150;Siege Workshop 4;
151;Samurai, D;
152;Militia, D;
153;Stable 4;
154;Man-At-Arms, D;
155;Wall, Fortified;
156;Repairer, M;
157;Throwing Axeman, D;
158;OUTLW;
159;Relic Cart;
160;Richard The Lionharted;
161;The Black Prince;
162;FLAGX;
163;Friar Tuck;
164;Sherrif Of Notingham;
165;Charlemagne;
166;Roland;
167;Belisarius;
168;Theodoric The Goth;
169;Aethelfirth;
170;Siegfried;
171;Erik The Red;
172;Tamerlane;
173;King Arthur;
174;Lancelot;
175;Gawain;
176;Mordred;
177;Archbishop;
178;Trade Cart, D;
179;Trade Workshop 4;
180;Long Swordsman, D;
181;Teutonic Knight, D;
182;TMISA;
183;TMISB;
184;TMISC;
185;TMISD;
186;TMISE;
187;TMISF;
188;TMISG;
189;TMISH;
190;TMISI;
191;TMISJ;
192;TMISK;
193;TMISL;
194;Trebuchet, D;
195;Kitabatake;
196;Minamoto;
197;Alexander Nevski;
198;El Cid;
199;Fish Trap;
200;Robin Hood;
201;FLR_R;
202;Rabid Wolf;
203;Rabid Wolf, D;
204;Trade Cart, Full;
205;Trade Cart, Full D;
206;VMDL;
207;VMDL, D;
208;TWAL;
209;University;
